129,246
129,320
134,400
151,474
172,547
214,625
258,665
309,706
375,721
441,706
492,665
536,625
578,547
599,474
616,400
621,320
621,246
183,260
218,253
257,252
303,257
342,279
408,279
447,257
493,252
532,253
567,260
375,307
375,364
375,419
375,476
315,504
345,512
375,515
405,512
435,504
222,315
246,303
286,304
315,324
286,335
250,337
435,324
464,304
504,303
528,315
500,337
464,335
286,578
321,562
351,552
375,554
399,552
429,562
464,578
440,598
416,611
374,621
334,611
310,598
302,578
339,578
375,578
411,578
448,578
413,585
375,587
337,585
129,116
246,63
375,52
504,63
621,116
